华加1,华加10,华加11-1,华加11-2,华加11-3,华加11,华加12,华加13,华加14,华加15,华加16,华加17,华加19,华加2-2,华加2,华加20,华加21,华加23,华加24,华加25,华加26,华加27,华加28,华加29,华加3-1,华加3-2,华加3,华加30,华加32,华加33,华加34,华加35,华加36,华加37,华加38,华加39,华加4,华加40,华加41,华加42,华加43,华加44,华加5,华加6,华加7,华加8,华加9,华固1-4,华固1-6,华固1-8,华固17-1,华固17-2,华固17-3,华固17-7,华固18-1,华固18-2,华固18-3,华固18-4,华固18-5,华固18-6,华固19-1,华固19-2,华固19-3,华固19-4,华固19-5,华固19-6,华固19-7,华固19-8,华固2-12,华固2-13,华固2-14,华固2-16,华固20-1,华固20-2,华固20-4,华固20-5,华固20-6,华固20-7,华固20-8,华固21-1,华固21-3,华固21-5,华固21-6,华固21-7,华固21-8,华固21-9,华固22-1,华固22-2,华固22-3,华固23-3,华固23-5,华固24-3,华固25-2,华固25-3,华固3-14,华固3-15,华固3-16,华固3-17,华固3-18,华固4-12,华固4-13,华固4-15,华固4-17,华固40-1,华固40-15,华固40-3,华固40-4,华固5-10,华固5-11,华固5-14,华固5-16,华固5-17,华固6-10,华固6-11,华固6-14,华固6-15,华固6-16,华固6-17,华固6-19,华固6-20,华固6-21,华固6-22,华固6-24,华固6-25,华固6-26,华固6-27,华固6-28,华固6-31,华固6-7,华固6-8,华固6-9,华固9-9,华尧10-5,华尧10-6,华尧11-6,华尧11-7,华尧12-7,华尧13-8,华尧13-9,华尧14-10,华尧14-9,华尧15-10,华尧15-11,华尧15-9,华尧16-10,华尧16-11,华尧16-9,华尧17-10,华尧17-9,华尧18-10,华尧18-9,华尧19-10,华尧19-9,华尧20-9,华尧4-4,华尧4-5,华尧5-4,华尧7-5,华尧8-4,华尧8-5,华尧9-4,华尧9-5,华成1-10,华成1-11,华成1-12,华成1-14,华成1-15,华成1-16,华成1-18,华成1-2,华成1-20,华成1-21,华成1-4,华成1-6,华成1-7,华成1-9,华溪1-10,华溪1-12,华溪1-18,华溪1-2,华溪1-20,华溪1-4,华溪1-8,华溪10-14,华溪10-16,华溪10-2,华溪10-20,华溪10-24,华溪10-26,华溪10-32,华溪10-34,华溪11-28,华溪11-30,华溪12-10,华溪12-11,华溪12-30,华溪16,华溪2-1,华溪2-6,华溪3-11,华溪3-8,华溪4-10,华溪4-12,华溪5-12,华溪5-14,华溪5-16,华溪5-20,华溪5-5,华溪5-7,华溪5-9,华溪6-16,华溪6-20,华溪6-22,华溪6-3,华溪7-10,华溪7-14,华溪7-16,华溪7-6,华溪8-10,华溪8-12,华溪8-14,华溪8-16,华溪8-18,华溪8-3,华溪8-5,华溪8-8,华溪9-12,华溪9-14,华溪9-16,华溪9-18,华溪9-20,华溪9-24,华溪9-3,华溪9-32,华蒲1-10,华蒲1-11,华蒲1-15,华蒲1-16,华蒲1-24,华蒲1-25,华蒲1-27,华蒲1-28,华蒲1-36,华蒲1-37,华蒲1-38,华蒲1-39,华蒲1-5,华蒲2-12,华蒲2-13,华蒲2-14,华蒲2-15,华蒲2-16,华蒲2-17,华蒲2-8,华蒲3-16,华蒲3-18,华蒲3-19,华蒲3-20,华蒲4-16,华蒲4-17,华蒲4-18,华蒲4-19,华蒲4-20,华蒲4-21,华蒲4-22,华蒲4-23,华蒲4-24,华蒲5-12,华蒲5-14,华蒲5-15,华蒲5-16,华蒲5-17,华蒲5-18,华蒲5-21,华蒲5-22,华蒲5-24,华蒲5-25,华蒲6-12,华蒲6-13,华蒲6-14,华蒲6-15,华蒲6-16,华蒲6-20,华蒲9-13,华蒲9-14,固1-7,固11-8,固12-10,固12-9,固13-9,固3-6,固6-10,固7-10,固7-12,固7-13,固7-15,固7-16,固7-17,固7-8,固7-9,固8-8,固8-9,固9-8,樊61,樊62,樊63,樊64,樊65,沁1-10-18-77,沁1-10-18-86,沁1-10-18-88,沁1-11-18-8,溪7-5,端氏-001,端氏-047,端氏-048,端氏-063,端氏-078,端氏-080,端氏-081,端氏-082,端氏-083,端氏-084,端氏-096,端氏-110,端氏-111,端氏-112,端氏-113,端氏-114,端氏-115,端氏-116,端氏-117,端氏-140,端氏-142,端氏-143,端氏-144,端氏-145,端氏-146,端氏-147,端氏-155,端氏-156,端氏-170,端氏-171,端氏-172,端氏-173,端氏-174,端氏-175,端氏-176,端氏-197,端氏-199,端氏-201,端氏-202,端氏-203,端氏-204,端氏-224,端氏-226,端氏-227,端氏-228,端氏-229,端氏-230,端氏-231,端氏-324,端氏-325,胡底102,胡底103,胡底249,蒲1-10,蒲1-12,蒲1-13,蒲1-2,蒲1-3,蒲1-4,蒲1-5,蒲1-6,蒲1-7,蒲1-8,蒲1-9,蒲2-10,蒲2-12,蒲2-13,蒲2-14,蒲2-4,蒲2-5,蒲2-6,蒲2-8,蒲2-9,蒲南1-1,蒲南1-2,蒲南1-3,蒲南1-4,蒲南2-6,蒲南2-7,蒲南3-5,蒲南3-6,蒲南3-7,蒲南3-9,郑村-012,郑村-016,郑村-017,郑村-022,郑村-023,郑村-025,郑村-032,郑村-036,郑村-038,郑村-041,郑村-047,郑村-051,郑村-053,郑村-056,郑村-071,郑村-072,郑村-073,郑村-079,郑村-081,郑村-082,郑村-083,郑村-084,郑村-085,郑村-086,郑村-088,郑村-089,郑村-090,郑村-093,郑村-095,郑村-105,郑村-107,郑村-113,郑村-115,郑村-136,郑村-137,郑村-143
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318,4875,2123,161,1623,203,1,396,385,3444,819,243,2604,2197,4906,2051,66,4784,1704,734,5235,6,141,592,1714,1119,1339,2931,842,812,369,3188,1037,4373,3497,1893,1159,1667,828,234,1260,0,580,1229,3429,173,637,198,1127,562,3175,2075,1398,677,353,1042,698,908,1163,0,276,894,2254,1276,3714,409,1960,0,430,2112,3295,6839,7,11,884,2896,0,3360,3830,4087,1167,5752,2966,2131,3434,245,1126,3238,2932,2346,255,334,1707,1285,2995,444,5262,1308,232,2226,0,0,300,0,0,1487,106,2800,3469,0,0,0,371,604,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2342,1855,3040,3254,3776,2709,3621,437,1786,272,512,280,1307,4934,13,860,277,524,1784,128,0,807,2324,112,1374,500,1307,1197,1872,1350,2446,125,585,311,1347,1177,0,968,115,2688,2265,0,0,1940,0,653,3264,851,4,0,0,584,530,482,227,280,453,1170,192,1055,503,894,1929,6284,3092,714,1992,718,2644,0,2699,478,1140,742,1917,0,669,232,670,839,769,3154,2485,2,1170,1876,1609,800,757,113,2,2117,2581,1272,1,1354,1663,468,1245,2479,730,1402,1294,0,922,1421,948,0,674,227,315,1572,1389,9041,749,5482,2210,3029,7813,4068,0,2303,324,3125,0,6260,1804,0,0,0,0,0,0,0,0,0,110,11679,0,8091,11538,2949,2422,2028,5196,7108,9278,137,0,1237,1192,1060,4365,7515,10011,3501,954,4061,3010,3163,1376,5700,8934,8197,1597,853,1041,2616,614,5552,3414,3968,900,199,2072,3796,1099,5876,2315,3789,2811,3700,5273,4222,5437,1901,3307,0,0,0,2100,0,743,964,4472,994,1967,2743,1025,267,529,429,1600,4,0,2234,1072,15,1230,0,0,3127,8647,2174,2190,4084,0,0,274,0,50,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,170,0,0,0,0,560,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318,4856,2123,155,1608,191,1,398,473,3815,870,269,2563,2554,4907,2012,72,0,1689,720,5426,1,274,591,1709,1220,1335,3146,868,812,434,3182,1035,4372,3550,1888,1159,1667,929,234,1260,0,598,1166,3603,173,631,205,1122,620,3160,2034,1398,679,357,1059,792,926,1242,0,275,891,2191,1276,3690,401,1935,0,440,2094,3295,6839,1,4,876,2847,0,3337,3830,4056,1167,5752,2947,2062,3426,233,1089,3278,3079,2346,259,343,1662,1308,2995,438,5262,1276,232,2169,0,0,500,0,0,1499,103,2800,3469,0,0,0,370,615,1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2355,1804,3009,3242,3782,2674,3621,437,1757,251,515,309,1307,5082,13,860,277,500,1799,176,0,807,2305,112,1374,500,1307,1192,1875,1402,2455,150,585,311,1347,1177,0,968,115,2052,2062,0,0,1940,119,653,3277,851,4,0,0,574,530,355,269,281,453,1213,199,1208,499,894,1947,6284,3092,714,1903,690,2556,0,2709,489,1111,761,1962,0,672,232,721,866,786,3185,2487,2,1170,1884,1614,793,736,106,2,2117,2462,1457,0,1369,1690,468,1262,2484,765,1464,1337,0,931,1468,951,0,667,179,310,1605,1410,9065,742,5457,2260,3039,7813,4117,0,2245,324,3105,0,6260,1804,0,0,0,0,0,0,0,0,0,110,11679,0,8038,11449,2534,2422,2017,5167,7037,9368,137,0,1149,1196,1041,4301,7480,9960,3172,951,4046,3007,3089,1405,5651,8925,8186,1023,747,1041,2611,613,5474,3303,3957,861,216,2072,3758,1176,5794,2315,3761,2811,3672,5212,4207,5375,1916,3188,0,0,0,2108,0,753,965,4465,994,2029,2743,1050,267,529,431,1593,4,0,1800,1072,15,1250,0,0,3168,8668,2172,2196,4240,0,0,274,0,13,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,163,0,0,0,0,733,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,5304,2100,133,1633,199,1,395,386,3742,899,269,2545,2554,4924,2012,74,0,1709,786,5426,1,481,584,1650,1128,1348,2991,868,706,405,3181,1032,4383,3550,1879,1132,1667,929,234,1205,0,598,1147,3427,173,630,214,1150,537,3143,2043,1428,683,356,1063,792,926,1155,0,279,865,2194,1424,3657,370,1904,0,429,2073,3314,7526,1,4,857,3173,0,3246,3830,4056,1167,5845,2932,2137,3425,244,1042,3184,3079,2346,243,320,1573,1308,2995,424,5262,1217,224,2164,0,0,500,0,0,1438,97,2800,3440,0,0,0,378,573,1717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2358,1791,2995,3242,3771,2653,3621,433,1757,251,517,302,1217,5017,1,779,288,500,1799,176,0,767,2281,0,1356,0,1294,1185,1867,1420,2462,150,585,311,1411,1181,0,968,122,2137,2006,666,0,1970,119,647,3227,851,4,0,0,545,0,373,269,239,409,1170,199,1208,498,569,1945,6061,2964,745,1852,680,2536,0,2662,477,1111,761,1924,0,641,200,721,833,777,3176,2488,2,1140,1901,1608,793,722,97,0,2117,2462,1400,0,1384,1747,501,1256,2494,784,1464,1337,0,942,1478,955,0,638,218,306,1570,1423,9107,747,5496,2256,3038,7811,4023,0,2227,353,3139,0,6168,1878,0,0,0,0,0,0,0,0,0,102,11589,0,7978,11363,2176,2422,1961,5090,7022,9370,568,0,1170,1200,1001,4312,7469,9902,3665,860,4022,2955,3049,1258,5649,8889,8193,592,835,1041,2593,616,5498,3268,3920,854,229,2072,3722,1154,5835,2315,3722,2811,3619,5184,4185,5305,1868,3077,0,0,0,2085,0,740,950,4465,994,2019,2953,1042,267,529,429,1598,4,0,1785,1048,15,1241,0,0,3143,8790,2186,2199,4184,0,0,274,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,170,0,0,0,0,717,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,5519,2100,132,1642,219,1,395,386,3658,904,0,2553,2554,4937,2012,75,0,1693,767,5426,1,481,581,1650,1133,1348,3006,868,706,376,3173,1044,4385,3550,1900,1134,1667,929,234,1210,0,598,1115,3428,173,611,218,1124,503,3144,2039,1428,687,354,1087,792,452,1155,0,279,858,2182,1424,3657,288,1904,0,411,2059,3314,7386,1,4,844,3081,0,3220,3830,4056,1141,5751,2918,2170,3420,254,1011,3148,3079,2346,239,325,1633,1273,2995,428,5185,1133,216,2185,0,0,500,0,0,1430,99,2800,3454,0,0,0,392,574,1713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2389,1812,3106,3236,3768,2738,3486,442,1757,251,532,301,1217,4969,4,769,288,423,1799,176,0,731,2284,0,1385,0,1294,1192,1889,1439,2478,120,568,307,1411,1181,0,942,122,2137,2006,836,0,1970,119,652,3276,552,4,0,0,570,288,374,269,232,419,1170,199,1208,501,569,1916,6061,2835,886,1853,691,2545,0,2606,477,1111,761,1904,0,630,232,721,816,770,3139,2481,2,1140,1888,1590,801,701,88,0,2117,2462,1400,1,1376,1747,532,1228,2490,784,1464,1162,0,944,1464,937,0,635,227,406,1574,1420,9103,745,5500,2218,3049,7811,4041,0,2235,353,3133,0,6151,1878,0,0,0,0,0,0,0,0,0,102,11589,0,7894,11282,1869,2422,1888,4933,6947,9384,562,0,1095,1134,943,4301,7451,9850,4319,956,4000,2901,2999,1168,5691,8872,8152,438,812,1041,2528,623,5471,3228,3915,830,236,2072,3686,1104,6006,2315,3691,2811,3569,5146,4150,5163,1743,2973,0,0,0,2113,0,730,928,4465,940,2016,2926,1045,373,590,434,1516,0,0,1794,1068,164,1232,0,0,2477,6674,1961,2201,3302,0,0,255,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,170,0,0,0,0,707,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,5531,2100,155,1619,215,1,392,376,3717,840,0,2532,2527,4904,2016,75,0,1693,754,5411,1,481,587,1496,1113,1345,3026,868,612,362,3161,949,4323,3648,1856,1116,1667,911,238,1211,0,569,1083,3420,173,595,220,1137,578,3227,2056,1428,689,349,1078,778,913,1184,0,277,857,2124,1355,3426,419,1904,0,371,2059,3314,7460,1,4,844,2998,0,3272,3830,4056,1100,5751,2937,2073,3399,260,1081,3221,3079,2270,250,324,1590,1285,2995,425,5138,1163,231,2174,0,0,500,0,0,1475,102,2800,3510,0,0,0,384,589,1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2305,1798,3107,3208,3805,2673,3490,435,1717,246,512,300,1217,5165,124,769,288,390,1728,198,0,707,2303,0,1372,0,1294,1186,1902,1489,2458,120,568,307,1411,1181,0,942,122,2137,2006,836,0,1970,115,645,3279,562,4,0,0,589,288,511,191,221,351,1210,194,1067,485,569,1863,6061,2835,814,1777,685,2554,0,2606,451,1111,761,1904,0,617,232,721,715,752,3139,2456,1,1140,1787,1590,826,670,92,0,2040,2462,1217,1,1347,1728,505,1238,2440,784,1464,1114,0,920,1385,897,0,677,219,406,1593,1391,8988,732,5472,2213,3040,7811,4041,0,2240,353,3104,0,6151,1878,0,0,0,0,0,0,0,0,0,102,11589,0,7816,11256,1631,2422,1795,4776,7359,9400,562,0,1034,986,911,4301,7444,10275,4336,974,3945,2807,2937,1059,5798,9472,8687,779,787,1041,2418,624,5765,3412,3902,803,231,2072,3663,1066,5708,2315,3619,2811,3519,5114,4144,5120,1625,3506,0,0,0,2036,0,688,938,4366,700,2016,2926,1045,373,590,429,1522,3,0,1746,1068,164,1164,0,0,2989,8928,2189,2166,3995,0,0,255,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,170,0,0,0,0,707,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,5462,2100,154,1591,217,1,399,374,3666,896,0,2531,2527,4898,2016,64,1,1690,674,5411,1,481,600,1529,1102,1347,2942,868,523,346,3161,909,4360,3648,1784,1098,1667,911,238,1211,0,569,1040,3402,173,458,242,1130,526,3227,2058,1428,703,326,1065,778,892,1184,0,274,922,2162,1376,3564,428,1904,0,379,2059,3314,7487,1,4,844,2915,0,3296,3830,3987,1137,5751,2928,2222,3389,233,1159,3243,3002,2269,260,327,1604,1328,2901,430,5138,1185,311,2164,0,0,500,0,0,1488,108,2800,3510,0,0,0,362,584,1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2228,1776,3062,3180,3803,2638,3498,427,1717,246,496,300,1217,5165,124,854,288,476,1735,198,0,792,2302,0,1486,0,1432,1161,1909,1535,2403,120,568,307,1411,1181,0,942,122,2016,2031,950,0,1970,115,638,3199,593,4,0,0,572,288,511,191,196,447,1210,194,1067,492,927,1914,5879,2754,823,1777,659,2533,0,2504,481,1111,761,1803,0,624,232,914,733,752,3077,2385,1,1140,1859,1589,793,674,85,0,2119,988,1225,1,1351,1728,483,1239,2449,596,961,381,0,924,1422,926,0,680,219,390,1601,1387,8887,721,5468,2205,3411,7812,4041,0,2207,342,3093,0,5848,1808,0,0,0,0,0,0,0,0,0,100,11589,0,7769,11243,1444,2422,1842,4715,7391,9358,562,0,1112,1084,1023,4296,7456,10279,4347,955,3815,2859,2862,1221,5770,9448,8412,596,792,1041,2519,678,5708,3187,3913,808,225,2072,3673,1096,5851,2315,3583,2811,3553,5096,4157,5105,1763,3428,0,0,0,2047,0,712,927,4455,700,1960,2926,1045,373,590,452,1552,3,0,1902,1068,164,1198,0,0,2916,8929,2185,2172,4120,0,0,255,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,170,0,0,0,0,696,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,1377,5462,2100,145,1576,207,1,392,364,3584,829,0,2530,2527,4881,2016,81,0,1686,658,5411,1,481,597,1529,1098,1339,2907,868,513,311,3161,895,4360,3648,1763,1095,1667,911,238,1211,0,569,1012,3377,173,418,259,1175,526,3227,2041,1428,698,329,1038,778,849,1184,0,272,916,2225,1347,3524,444,1904,0,379,2059,3314,7441,1,4,844,2833,0,3258,3830,4000,1142,5751,2905,2096,3384,241,1180,3261,2994,2234,259,339,1589,1325,2901,423,5067,1173,291,2118,0,0,260,0,0,1480,105,2700,3475,0,0,0,357,583,1745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250,1816,3092,3169,3787,2705,3545,444,1717,246,519,300,1217,5165,124,867,288,500,1766,198,0,862,2389,0,1486,0,1432,1177,1962,1624,2381,110,561,298,1411,1181,0,946,122,2016,2031,950,0,1970,87,654,3199,837,3,0,0,615,288,511,191,196,562,1210,194,1124,486,927,1968,5879,2755,830,1941,699,2591,0,2817,473,1111,761,1912,0,645,232,1025,804,752,3115,2510,1,1140,1905,1665,785,691,80,0,2102,988,1205,1,1381,1728,545,1261,2468,594,961,296,0,963,1448,944,0,674,219,382,1593,1381,8878,720,5459,2188,3872,7812,3991,0,2195,342,3053,0,5848,1808,0,0,0,0,0,0,0,0,0,100,11589,0,7693,11201,4985,2422,1880,4649,7336,9313,562,0,1215,1172,1086,4102,7450,10218,4364,745,3796,2899,2821,1565,6081,9369,8071,369,718,1041,2584,702,5627,3171,3914,853,527,2072,3686,1140,5522,2013,3563,2811,3569,5058,4170,5070,1889,3304,0,0,0,2096,0,732,921,4430,456,2022,2760,1051,383,549,470,1562,3,0,2388,1104,0,1254,0,0,3041,8982,2144,2187,4374,0,0,255,0,232,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,170,0,0,0,0,599,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,1377,5341,2100,92,1589,211,1,397,361,3821,799,0,2541,2550,4911,2009,74,0,1653,686,5105,1,481,591,1528,1116,1331,2986,1033,488,317,3020,1007,4379,3444,1807,1102,1667,853,256,1231,0,594,1011,3360,0,563,248,1099,604,3318,2011,1428,699,336,1054,746,944,1235,0,273,904,2174,1257,3478,444,1904,0,315,2064,3211,7420,1,4,801,3248,0,3222,3703,3889,1086,5751,2879,2175,3359,249,1071,3233,2951,2243,255,347,1584,1293,2921,418,5067,1069,288,2137,0,0,0,0,0,1460,111,2700,3475,0,0,0,381,566,1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2274,1837,3115,3139,3731,2705,3545,453,1912,273,564,302,1217,4868,120,849,288,459,1699,120,0,819,2409,0,1406,0,1432,1172,1963,1580,2402,110,561,298,1411,1181,0,946,122,2016,2031,950,0,1970,122,654,3177,837,3,0,0,583,356,511,169,196,517,1260,199,736,496,927,1976,5879,2699,636,1876,671,2600,0,2687,451,1130,778,1868,0,619,232,1013,696,765,3110,2455,1,1140,1869,1619,786,701,358,0,2086,3357,1189,1,1311,1275,639,1249,2469,532,1488,828,0,938,1402,942,0,653,239,385,1589,1364,8902,754,5480,2209,3595,7812,3991,0,2165,342,3015,0,5738,1808,0,0,0,0,0,0,0,0,0,100,11469,0,7644,11070,4597,2422,1816,4552,7240,9305,562,0,1135,1098,983,4055,7387,10111,4515,685,3786,2789,2751,1457,6024,9322,8063,363,692,1041,2537,701,5537,3222,3886,843,539,1895,3625,1102,5609,1745,3526,2799,3496,4994,4116,4974,1787,3196,0,0,0,2069,0,705,941,4423,456,1989,2760,1051,383,549,463,1541,1,0,2326,1104,0,1229,0,0,3003,8897,2126,2194,4234,0,0,255,0,232,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,170,0,0,0,0,602,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,1386,5267,2022,106,1587,258,1,395,356,3736,792,0,2535,2550,4899,2009,60,0,1620,678,5169,1,481,579,1538,1110,1322,2963,1033,504,327,2987,948,4345,3444,1798,1096,1667,853,256,1231,0,594,995,3338,0,557,243,1056,618,3318,2002,1428,695,275,1072,746,944,1235,0,273,904,2173,1259,3215,426,1908,0,353,2025,3310,7393,1,4,801,3311,0,3221,3703,3883,1062,5867,2858,2201,3342,241,1054,3218,2974,2230,257,321,1589,1299,2850,439,5067,1148,285,2131,0,0,0,0,0,1470,104,2700,3475,0,0,0,369,538,1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2292,1826,3053,3053,3728,2705,3500,449,1912,273,528,414,968,4810,120,828,205,458,1714,120,0,796,2387,0,1387,0,1456,1168,1953,1599,2531,110,561,298,1429,1202,0,946,137,1918,2201,464,0,2028,108,643,3146,837,3,0,0,574,356,407,139,214,494,1260,199,792,497,607,1978,6033,2676,696,1931,681,2579,0,2675,441,1130,778,1876,0,624,149,1004,742,764,3116,2453,1,1082,1878,1600,792,669,396,0,2034,3357,1271,1,1310,1275,633,1249,2476,544,1488,964,0,940,1409,894,0,657,156,382,1580,1357,8870,735,5472,2219,3229,7236,3991,0,2180,342,3018,0,5707,1725,0,0,0,0,0,0,0,0,0,100,11469,0,7620,11012,4328,2013,1773,4466,7184,9312,36,0,1109,1071,996,4017,7358,10049,4817,712,3765,2772,2691,1488,5978,9260,8026,910,600,1041,2515,667,5460,3157,3865,828,537,1880,3600,1084,5441,1123,3484,2797,3458,4950,4085,4917,1750,3084,0,0,0,2062,0,703,931,4474,456,1957,2760,1051,383,549,468,1557,1,0,2316,1104,0,1222,0,0,2989,8863,2125,2203,4187,0,0,255,0,232,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,156,0,0,0,0,640,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,1386,5267,2022,142,1596,241,1,408,360,3676,791,0,2540,2550,4907,2009,57,0,1578,687,5187,1,481,579,1530,1109,1319,2976,1033,510,335,3003,907,4352,3444,1810,1102,1667,853,256,1231,0,594,989,3339,0,564,240,1019,592,3318,1981,1428,699,308,1060,746,944,1235,0,273,901,2175,1283,3456,428,1908,0,353,2029,3313,7369,1,4,801,3192,0,3189,3598,3849,1029,5867,2848,2168,3352,245,1056,3192,2964,2212,255,319,1589,1272,2847,448,5003,1114,278,2118,0,0,0,0,0,1463,106,2636,3402,0,0,0,325,502,1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,1815,3064,3119,3767,2762,3607,448,1912,273,529,414,968,4737,120,799,205,450,1703,120,0,817,2369,196,1367,0,1456,1159,1946,1650,2531,241,494,261,1429,1202,0,916,137,1918,2201,464,0,2028,91,635,3141,751,3,0,0,572,356,358,133,214,495,1260,199,748,503,607,1978,6033,2696,704,1926,684,2556,0,2656,439,1130,778,1861,0,660,149,1017,685,743,3077,2446,1,1082,1900,1613,781,656,394,0,2046,3357,1433,1,1324,1275,651,1245,2493,600,1488,1003,0,881,1407,910,0,628,128,342,1589,1363,8914,738,5492,2201,3110,8683,3996,0,2179,342,3015,0,5671,1725,0,0,0,0,0,0,0,0,0,110,11469,0,7614,10927,3665,2055,1802,4416,7131,9293,36,0,1186,1101,1099,4074,7335,9985,4797,530,3752,2843,2669,1556,5957,9270,8012,916,655,1041,2519,712,5403,3187,3832,836,533,1994,3585,1133,5475,1021,3479,2770,3457,4924,4071,4873,1905,3000,0,0,0,2082,0,708,829,4575,490,1983,2603,1051,383,549,439,1565,6,0,2300,1027,0,1230,0,0,3008,9070,2127,2208,4208,0,0,397,0,233,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,156,0,0,0,0,665,0,0
