well_name,X,Y,Coal_seam_depth,Coal_seam_thickness,Reservoir_pressure,Floor_sandstone,Roof_sandstone,Gas_saturation,Gas_content,Water_content,Ash,Porosity,Permeability,Desorption_pressure
华加1,645730.9,3963920,680.4808,6.812003,4.926722,53.15302,83.02836,62.02732,23.29586,1.001311,9.067161,3.522702,0.230468,2.725641
华加10,647609.9,3962427,642.7836,8.599082,4.87371,70.84328,88.71091,63.21923,20.51015,1.118309,8.72223,5.706433,0.725931,2.137209
华加11-1,639149.6,3952941,345.6288,5.54041,3.392045,70.04901,36.15149,55.60736,16.92999,1.162539,9.148739,4.865332,0.441828,1.532071
华加11-2,638802.8,3953000,310.763,6.061707,2.586968,80.7219,70.78427,55.96824,16.77388,1.095279,9.367916,6.508773,1.016951,1.507647
华加11-3,639482.4,3952286,412.7929,5.226049,2.91892,86.96126,74.76691,56.70705,15.61837,1.240391,8.590178,4.988372,0.466733,1.403542
华加11,644210.7,3952526,708.767,6.805167,3.7404,57.43805,64.02237,67.90417,22.64296,1.135564,8.698552,6.887309,1.353453,2.573162
华加12,644259.6,3952947,690.8262,6.182418,4.078299,71.47026,60.83484,65.76836,23.7954,0.968768,8.970039,5.662273,0.702227,2.881565
华加13,644605.2,3953082,623.8198,6.142715,3.252438,63.42104,70.79951,76.00417,21.15605,0.728766,8.500023,5.734104,0.712637,2.224812
华加14,644469,3952678,722.5892,6.517337,3.058451,55.05308,63.93919,65.1294,21.11752,1.165212,8.851312,6.461306,1.02155,2.147845
华加15,644198.9,3952964,690.8262,6.182418,4.078299,71.47026,60.83484,65.76836,23.7954,0.968768,8.970039,5.662273,0.702227,2.881565
华加16,644230.6,3953560,666.9044,5.802409,3.391668,53.89259,65.3774,56.99159,18.8655,1.21615,9.094181,4.954092,0.449432,1.803926
华加17,644552.1,3953838,564.3401,6.269652,3.083951,67.46106,40.03921,72.26038,18.41868,0.896276,8.560515,4.552719,0.402543,1.722632
华加19,645020.9,3953999,534.5479,5.971318,2.530339,76.21071,77.02934,51.00219,18.42909,1.242018,9.30963,6.501078,1.009437,1.740928
华加2-2,640527.9,3954746,693.2494,5.68232,4.842741,88.28875,60.33971,52.96333,21.64301,1.403772,8.677559,5.927892,0.747817,2.368976
华加2,645362.4,3963834,655.5942,6.799714,4.972291,29.99387,85.81345,67.84916,25.41925,0.632116,9.922707,2.716838,0.145907,3.274363
华加20,645356.7,3953637,502.4511,5.808995,2.252134,49.27924,47.73801,65.75495,19.25299,0.936031,9.20449,6.349969,1.146185,1.884864
华加21,645414.1,3953455,508.5854,5.87599,2.332459,44.34341,64.93125,61.1338,18.73501,1.068034,9.468805,5.161323,0.717228,1.815364
华加23,645621.9,3953386,512.8041,5.944823,2.366585,73.87815,35.01805,68.78584,18.4807,0.937772,9.216059,7.544656,1.781862,1.754536
华加24,645502.4,3953863,477.3121,5.411586,2.396822,37.16676,70.2789,68.89089,17.3006,1.259286,8.697165,6.972631,1.272281,1.568701
华加25,645711.6,3953658,539.0364,5.347084,2.622219,55.21043,59.67502,65.88816,21.14606,1.021851,9.183857,6.845888,1.340987,2.262447
华加26,645934.1,3953799,573.1584,5.104193,2.990793,44.94194,35.77249,70.32473,19.62439,1.356413,9.085227,6.811878,1.220618,1.953684
华加27,645282.4,3954754,533.2066,5.705277,3.847225,37.60877,67.4135,57.82441,24.67857,1.180371,9.697712,5.485648,0.699557,3.150033
华加28,645579,3954872,554.3945,5.492285,3.912446,29.74878,66.59983,50.7824,20.87227,1.359897,9.270294,4.667232,0.439376,2.221555
华加29,645555.8,3955202,671.7966,6.095433,4.27994,34.59547,34.10749,58.40637,21.99193,1.190306,9.078747,4.938977,0.464064,2.411353
华加3-1,639328.3,3953360,376.245,5.984958,2.90659,88.79127,28.56414,61.64946,17.88654,1.102353,9.185658,5.336474,0.547626,1.652312
华加3-2,639920.5,3953486,472.4854,5.8036,3.426402,91.7405,78.38712,63.60836,18.38395,1.407939,8.303812,6.040606,0.785051,1.714002
华加3,645623.6,3963748,681.488,6.568276,4.813454,28.14295,82.24244,52.59284,24.7858,0.752694,9.37175,3.498886,0.224352,3.11009
华加30,645723.7,3955167,640.0983,5.653715,4.275884,62.97261,30.82966,48.54929,21.55738,1.274559,10.06341,4.471927,0.376639,2.320343
华加32,646238.5,3955354,588.1796,5.80131,4.15672,32.06641,55.77609,63.45005,20.99986,0.725199,9.655351,5.208423,0.560813,2.219893
华加33,646184.4,3955664,707.715,6.073368,4.195387,26.40449,63.30027,68.10907,21.70278,1.003419,8.904499,5.38343,0.571385,2.348435
华加34,646001.6,3955995,719.4508,5.805265,4.564623,75.02007,63.87997,43.70012,21.85189,1.221216,9.788297,5.307525,0.54032,2.376434
华加35,645853,3956282,683.2734,6.090236,4.452048,67.41099,69.12635,56.9416,21.98936,1.147232,9.767484,6.472064,0.985149,2.404825
华加36,645948.8,3956658,672.5394,5.92087,4.170613,82.39632,73.33292,65.3405,19.95561,0.775687,9.05197,4.636031,0.452029,2.008939
华加37,646105.8,3956399,691.6032,5.720695,4.391677,77.72478,73.95463,50.89772,22.50348,1.147633,8.769472,5.153055,0.599269,2.552483
华加38,646309.4,3956049,702.0563,5.900147,4.279644,28.41959,68.34071,62.24478,19.08447,1.210531,8.779497,5.923314,0.762505,1.87737
华加39,646354,3955730,709.7107,5.861468,4.26373,29.66931,74.13594,65.44867,19.58553,1.234109,8.819115,6.47903,1.052187,1.961444
华加4,644959.4,3960307,717.4697,6.565446,5.107308,74.90089,50.89922,64.07037,21.84402,1.14188,9.723288,3.018114,0.231472,2.373194
华加40,646556.9,3956296,698.4077,6.065546,3.996216,69.58786,34.81263,67.26803,17.19271,0.919362,9.304868,5.740683,0.714462,1.575693
华加41,646454.8,3956518,700.1069,6.133222,4.006892,74.68594,73.42007,66.17043,21.04229,1.024598,9.005479,6.075833,0.831544,2.250103
华加42,646429.7,3956729,683.4869,5.953006,4.035455,76.3372,70.91366,65.28412,19.89506,0.925995,9.154503,5.815121,0.74561,1.999341
华加43,646550,3956843,705.0562,6.156205,4.044657,77.29045,71.3843,68.55386,18.94147,1.081939,8.845327,6.626077,1.107678,1.861184
华加44,646656.6,3956670,715.3096,6.070034,4.048366,80.12598,68.37253,70.63985,17.15633,0.979626,8.777998,6.916372,1.275344,1.576523
华加5,644524.3,3960163,704.1436,6.598102,5.123149,80.60638,39.30588,64.76514,23.08453,1.128809,9.382742,6.437487,0.963416,2.646445
华加6,644783.4,3960128,694.0269,6.175204,5.15546,75.62531,65.66881,72.39154,21.69462,1.130757,9.231109,5.266813,0.61901,2.352839
华加7,645196.6,3960128,780.173,6.116486,5.153961,39.29031,67.60452,73.55579,21.36887,1.129877,9.214763,6.0192,0.785163,2.279429
华加8,644592.5,3959944,703.5449,6.431241,5.216335,80.29292,66.35223,71.50285,23.29681,1.066231,8.806943,7.404158,1.750358,2.711764
华加9,645038.7,3959836,760.8241,6.498646,4.982727,17.44341,17.3743,62.38164,23.25642,1.120693,9.503656,5.13712,0.493587,2.642676
华固1-4,644230.2,3959684,722.5986,6.543286,5.094173,71.82745,58.69118,73.95312,23.75285,1.12957,9.158765,6.261769,1.126199,2.807758
华固1-6,644582,3959745,718.6599,6.472537,5.106625,70.98992,58.87386,73.14769,23.47287,1.108319,9.062825,6.513977,1.266832,2.741912
华固1-8,645174.8,3959694,751.3309,6.499464,4.9701,41.92125,36.3905,72.46529,24.99497,1.119199,9.387727,5.543485,0.707065,3.151017
华固17-1,643841.7,3963821,651.2997,6.949672,3.794664,55.59338,43.61895,76.08685,21.86355,1.116555,8.950965,6.883938,1.366716,2.387018
华固17-2,644530.4,3963394,620.2261,6.726577,4.091157,48.49827,72.03344,59.34625,19.93782,1.100151,9.188906,5.769771,0.988286,1.996904
华固17-3,644889.5,3963063,631.0654,6.625846,4.612092,51.30565,74.59573,70.60157,22.44226,1.108017,9.212908,5.68128,0.92819,2.562987
华固17-7,644755,3962842,612.184,6.55571,4.486983,55.19725,71.90204,61.83263,10.9836,1.055976,9.164882,6.437341,1.214302,0.94255
华固18-1,643951.8,3964058,651.9377,6.931234,3.814801,55.69495,40.50069,71.43805,21.04491,1.142314,8.887475,7.010128,1.423688,2.199546
华固18-2,644780.6,3963671,654.2101,6.805894,4.386598,35.60834,75.86182,61.82878,20.09495,1.107713,9.379295,4.706547,0.548774,2.069969
华固18-3,644886.4,3963395,642.0186,6.791222,4.532775,42.97629,74.51204,44.10528,19.35977,1.117792,9.349395,4.925676,0.66164,1.901488
华固18-4,645147.4,3963491,657.7941,6.798744,4.884168,35.61726,78.17325,55.57275,23.6269,1.029099,9.474103,4.063689,0.395535,2.792355
华固18-5,645253.2,3963146,642.8535,6.760539,5.059045,41.18835,75.07223,53.89102,22.11151,1.106991,9.369158,4.714432,0.600455,2.439605
华固18-6,645385.9,3962759,618.3813,6.677566,5.10954,45.91653,73.72055,65.16479,25.14955,1.123025,9.196561,5.961879,1.013932,3.170071
华固19-1,644003.8,3964345,651.009,6.794182,3.775611,56.58409,41.02837,70.56781,20.99159,1.118563,8.833998,6.915974,1.389201,2.195542
华固19-2,644279.8,3964279,644.3528,6.732695,3.621015,54.08001,47.22001,71.57056,20.29996,1.06095,8.926231,6.600466,1.261227,2.069962
华固19-3,644497.1,3964037,647.9315,6.834872,3.7159,43.43972,65.03918,58.50756,14.228,1.185499,9.174805,5.471827,0.842177,1.212197
华固19-4,644761.6,3963971,653.363,6.845663,4.147726,38.74739,70.71188,65.88823,21.27803,1.118972,9.287022,5.075873,0.673023,2.318127
华固19-5,645074,3963788,662.829,6.808432,4.864852,27.17457,81.7599,64.18713,22.61968,1.109912,9.39328,4.782635,0.462657,2.635424
华固19-6,645379.8,3963650,660.7424,6.783635,4.979875,32.42089,82.441,60.16024,24.69207,1.019769,9.681396,3.306504,0.241343,3.073069
华固19-7,645451.3,3963361,658.4391,6.781452,5.011548,38.75353,74.87774,64.55788,24.40514,1.069881,9.376765,4.119457,0.414522,2.984083
华固19-8,645543.2,3963066,620.4613,6.763274,4.89148,41.19718,75.22114,68.55666,23.49001,1.101659,9.25221,5.116407,0.762098,2.735083
华固2-12,643655.3,3960238,729.1464,6.736664,4.95675,71.75294,65.40414,77.38013,23.1001,1.108575,9.283325,5.97066,0.98939,2.671334
华固2-13,644008.3,3960021,726.2654,6.658895,5.079626,72.98841,60.66711,77.1664,24.04972,1.117485,9.241973,6.024059,0.998124,2.876335
华固2-14,644338.8,3959991,712.5095,6.538122,5.509243,76.60175,58.30606,62.09125,24.20842,1.125272,9.119703,6.531599,1.229047,2.930075
华固2-16,644857.9,3959877,734.6138,6.43499,5.30828,50.08674,44.06733,72.78754,22.84542,1.11982,9.282703,5.70918,0.826695,2.59236
华固20-1,644259.7,3964604,635.7516,6.711128,3.638729,59.66444,42.99599,67.83187,20.29933,1.097096,8.862958,6.957829,1.419989,2.082065
华固20-2,644491.5,3964372,642.6993,6.809191,3.779783,47.88808,59.78327,66.34208,20.98652,1.101835,9.108455,5.778093,0.962156,2.207942
华固20-4,645005,3964235,659.3416,6.824716,4.867162,32.77995,76.37544,60.53828,24.01565,1.114649,9.374899,4.769349,0.495404,2.918287
